"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"ST_PESQUISA_PROPRIA";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGO";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"DT_DIVULGACAO";"QT_ENTREVISTADO";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"01/09/2026";"05:46:44";2026;81;"Eleições Gerais 2026";"RJ";"RJ";"RIO DE JANEIRO";"RJ065802026";"2026-08-11 13:26:04";"N";"08955939000111";"D'ART PESQUISAS DE OPINIAO E EVENTOS LTDA";"D ART PROMOCOES";"Governador, Senador, Deputado Federal, Deputado Estadual";"2026-08-06 00:00:00";"2026-08-07 00:00:00";"2026-08-17 00:00:00";474;"11115";"Edson Melo Muniz";"16000,00";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado em uma amostra da população residente no município de Macaé (RJ), com idade igual ou superior a 16 anos, selecionada por cotas amostrais controladas, proporcionais por bairro/localidade e sexo, de acordo com o perfil da população em estudo, sem sorteio probabilístico de setores censitários do IBGE.";"O plano amostral consta de cotas proporcionais por bairro/localidade e sexo, distribuídas entre as localidades do município de Macaé (RJ). Variável Sexo: Feminino 51,3%, Masculino 48,7%. Variável Idade: 16 a 24 anos 16,7%, 25 a 34 anos 21,9%, 35 a 44 anos 23,4%, 45 a 59 anos 26,8%, 60 anos ou mais 11,2%. As variáveis Instrução e Renda não foram controladas nas cotas nem coletadas no questionário aplicado. Para um intervalo de confiança de 95% e uma amostra de 474 entrevistas, a margem de erro máxima estimada foi de aproximadamente 4,5 pontos percentuais, para mais ou para menos.";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pela D'Art Pesquisas de Opinião e Eventos devidamente treinados para o trabalho. Após os trabalhos de campo, todos os questionários são criticados e submetidos a fiscalização para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"Conforme detalhamento apresentado no Anexo de Locais de Aplicação (documento Detalhamento_Bairros_Macae_Dart_Final.pdf), com a relação de bairros/localidades visitados em campo e o número de entrevistas por bairro, discriminadas por sexo, e a justificativa técnica quanto à unidade territorial utilizada em substituição ao setor censitário do IBGE (art. 2º, §7º-F, Res.-TSE nº 23.600/2019)."
"01/09/2026";"05:46:44";2026;81;"Eleições Gerais 2026";"RJ";"RJ";"RIO DE JANEIRO";"RJ076612026";"2026-04-10 21:00:36";"N";"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA";"#NULO#";"Governador, Deputado Federal, Deputado Estadual";"2026-04-13 00:00:00";"2026-04-14 00:00:00";"2026-04-16 00:00:00";500;"11413";"Luciano Moura Silva";"13000,00";"Pesquisa quantitativa com aplicação de questionário estruturado, por meio de entrevistas telefônicas automatizadas (URA), junto a uma parcela representativa do eleitorado do município de Angra dos Reis, Estado do Rio de Janeiro.
";"pesquisa será realizada com amostra de 500 entrevistas, representativa do eleitorado do município de Angra dos Reis/RJ. O plano amostral considera, como parâmetros de referência, as variáveis sexo, faixa etária, grau de instrução e nível econômico do entrevistado, com base em dados públicos oficiais aplicáveis à área estudada. Está prevista eventual ponderação para correção das variáveis sexo e idade, caso sejam verificados desvios relevantes entre o previsto no plano amostral e a amostra efetivamente obtida. Para as variáveis grau de instrução e nível econômico, o fator previsto de ponderação é 1, correspondendo aos resultados obtidos na coleta, salvo necessidade técnica de ajuste. A margem de erro máxima estimada é de 4,4 pontos percentuais, para mais ou para menos, considerando nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para 95% de confiança. Fonte dos dados: TSE, IBGE/Censo 2022 e demais bases públicas aplicáveis à localidade pesquisada.";"Antes do início da coleta, serão realizados testes operacionais do questionário, da programação do fluxo de perguntas e do sistema de captação das respostas. A coleta será realizada por sistema telefônico automatizado (URA), com controle eletrônico dos contatos efetuados, registro de horários, duração das entrevistas, respostas captadas e consolidação dos dados em base auditável. Serão adotados procedimentos internos de conferência, crítica de consistência, verificação de duplicidades, validação dos registros e auditoria do banco de dados. Antes do processamento final e da emissão dos resultados, será realizado procedimento de limpeza, conferência e consistência estatística das informações coletadas.";"A área de abrangência da pesquisa é o município de Angra dos Reis, no Estado do Rio de Janeiro. Tratando-se de levantamento de âmbito municipal, os bairros abrangidos pela pesquisa ¿ ou, na ausência de delimitação específica de bairro, as áreas efetivamente alcançadas pela coleta ¿ serão informados e complementados no registro, na forma prevista pela regulamentação da Justiça Eleitoral."
"01/09/2026";"05:46:44";2026;81;"Eleições Gerais 2026";"RJ";"RJ";"RIO DE JANEIRO";"RJ029452026";"2026-08-15 23:49:00";"N";"07630546000175";"DATAFOLHA INSTITUTO DE PESQUISAS LTDA.";"#NULO#";"Governador, Senador";"2026-08-18 00:00:00";"2026-08-21 00:00:00";"2026-08-21 00:00:00";1204;"7249A";"Renata Nunes Cesar";"130418,94";"Pesquisa do tipo quantitativo, por amostragem, com aplicação de questionário estruturado e abordagem pessoal em pontos de fluxo populacional. O eleitorado do estado do Rio de Janeiro foi tomado como universo da pesquisa.";"Universo: Eleitorado do estado do Rio de Janeiro
Tamanho da amostra: A amostra prevista é de 1204 entrevistas. 
Técnica de amostragem: A amostra é estratificada por natureza dos municípios (capital, região metropolitana ou interior), sendo que os estratos são desproporcionais em relação ao tamanho do universo. Posteriormente, as proporções corretas serão restabelecidas na fase de ponderação dos dados. Os municípios com população acima de 500 mil habitantes e da metropolitana acima de 2000 mil habitantes constituem estratos. Em cada estrato, num primeiro estágio, são sorteados com probabilidade proporcional ao tamanho (PPT) os municípios que farão parte do levantamento. Num segundo estágio, são sorteados os bairros e pontos de abordagem onde serão aplicadas as entrevistas.  Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas de gênero e faixa etária. 

Os dados utilizados para definição e seleção da amostra são baseados nos dados fornecidos pelo TSE (dados mais recentes disponíveis),  IBGE (Censo 2022, PNADC-A 2024 e Estimativa populacional 2025), além de dados primários de outros levantamentos do instituto.  Os dados relativos a gênero e faixa etária são: Homens: 46%, mulheres: 54%, 16 a 24 anos: 10%, 25 a 34 anos: 18%, 35 a 44 anos: 18%, 45 a 59 anos: 26% e 60 anos ou mais: 28%.

Para a variável grau de instrução os dados utilizados como referência são: até nível médio completo ou incompleto (inclui os sem escolaridade e analfabetos) =68% e nível superior (inclui superior incompleto) = 32%.

Ponderação dos resultados: Está prevista ponderação considerando os estratos da amostra (natureza do município e alguns municípios), gênero e faixa etária. A variável escolaridade poderá ser ajustada de acordo com os percentuais detalhados anteriormente caso a diferença entre os valores descritos e observados seja maior que a margem de erro definida.  Para o nível econômico do entrevistado (renda familiar mensal declarada pelo respondente), a distribuição utilizada como referência foi: Até 2 S.M. (salários mínimos)=47%, mais de 2 S.M.=50%, não souberam ou recusaram a resposta=3%.  O fator previsto para ponderação é 1 (resultados obtidos em campo).


Margem de Erro: A margem de erro máxima prevista é de 3 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95% e baseada em uma amostra aleatória simples (AAS). Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.
";": Os entrevistadores envolvidos na realização desta pesquisa são treinados pelo Instituto e recebem instruções específicas para cada projeto realizado. A coleta será feita com a utilização de tablet e questionário eletrônico. São checados, no mínimo, 20% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente, por telefone. Internamente, todo o material é verificado e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados. Os dados coletados e tratados nesta pesquisa atendem às exigências da LGPD, Lei Geral de Proteção de Dados, garantindo ao respondente o sigilo de sua identidade e o correto tratamento de suas respostas.";": A área de abrangência da coleta dos dados é o estado de Rio de Janeiro. A relação completa dos municípios e bairros pesquisados será anexada ao registro até o dia seguinte à data de publicação da pesquisa, conforme Resolução 23.600/2019 do TSE, no art.2º §7º. "
"01/09/2026";"05:46:44";2026;81;"Eleições Gerais 2026";"RJ";"RJ";"RIO DE JANEIRO";"RJ094982026";"2026-04-25 22:12:34";"S";"00654576000172";"INSTITUTO VERITA LTDA";"VERITA";"Senador";"2026-04-26 00:00:00";"2026-04-30 00:00:00";"2026-05-01 00:00:00";2030;"10699";"GUILHERME ALVARENGA LAIA";"156310,00";"Pesquisa quantitativa, que consiste na realização de entrevistas, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado desta Unidade da Federação.";"ESTUDO REPRESENTATIVO DO ELEITORADO DO ESTADO DO RIO DE JANEIRO - MÉTODO PPT (Probabilidade Proporcional ao Tamanho) - PLANO AMOSTRAL E PONDERAÇÃO QUANTO A SEXO, IDADE, GRAU DE INSTRUÇÃO E NÍVEL ECONÔMICO DO ENTREVISTADO; INTERVALO DE CONFIANÇA E MARGEM DE ERRO: Representativo do eleitorado da área em estudo, elaborada, em vários estágios, da seguinte forma: - 1. Divisão da UF em estratos proporcionais de municípios. 2. Ordenação dos municípios de cada estrato segundo o porte. 3. Sorteio dos municípios de cada estrato. 4. Os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: GÊNERO / FAIXA ETÁRIA - FEMININO E MASCULINO 16 A 34 ANOS 14,6% E 13,6%, 35 A 54 ANOS 19,2% E 16,8%, 55 ANOS OU MAIS 20,3% E 15,5%. GRAU DE INSTRUÇÃO ¿ FEMININO E MASCULINO Sem instrução até Ensino Médio completo 53,5%, Ensino superior incompleto e completo 46,5% NÍVEL ECONÔMICO - FEMININO população não economicamente ativa 46,5% população economicamente ativa 53,5% MASCULINO população não economicamente ativa 27,2% população economicamente ativa 72,8%. RENDA FAMILIAR DO DOMICÍLIO renda familiar de até 2 salários-mínimos 30,7%; de 2 a 5 salários-mínimos 44,2%, acima de 5 salários-mínimos 25,1%. Está prevista eventual ponderação para correção das variáveis, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a margem de erro da pesquisa previsto entre a amostra e a coleta de dados realizada. O fator previsto para ponderação é 1 (resultados obtidos na coleta de dados). O intervalo de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de aproximadamente 2,5 pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: IBGE/Censo 2022 para fins de densidade demográfica, setores censitários e alocação da amostra. IBGE/PNAD/PNADC/MEC/INEP para fins de Nível Econômico e Escolaridade. TSE FEVEREIRO/2026 para fins de Sexo, Faixa Etária e eleitorado por município ou regiões previamente definidas (importante ressaltar para o público leigo que os dados do TSE são os únicos corretos para gênero, idade dos eleitores e quantitativo de eleitores por municípios já que a base de dados se atualiza automaticamente, PORÉM, dados de escolaridade e nível econômico NÃO são corretos e confiáveis devido a desatualização que ocorre naturalmente com o passar dos anos). Definição de margem de erro e intervalo de confiança: Margem de erro e intervalo de confiança não são grandezas diretamente proporcionais. A SOMA NÃO TEM QUE RESULTAR 100%. ";"Após os trabalhos de coleta de dados, os questionários são submetidos a uma fiscalização, conferência e checagem de cerca de 20% (vinte por cento) dos questionários aplicados.";"A relação dos municípios sorteados ou selecionados para esta pesquisa será apresentada em arquivo anexo até 1 (um) dia após a divulgação desta pesquisa conforme §7º. do art. 2º. da Resolução-TSE nº. 23.600/2019. A área de abrangência desta pesquisa é o Estado DO RIO DE JANEIRO"
"01/09/2026";"05:46:44";2026;81;"Eleições Gerais 2026";"RJ";"RJ";"RIO DE JANEIRO";"RJ005422026";"2026-06-01 22:22:39";"S";"00654576000172";"INSTITUTO VERITA LTDA";"VERITA";"Governador, Senador";"2026-06-02 00:00:00";"2026-06-06 00:00:00";"2026-06-07 00:00:00";2030;"10699";"GUILHERME ALVARENGA LAIA";"156310,00";"Pesquisa quantitativa, que consiste na realização de entrevistas, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado desta Unidade da Federação.";"ESTUDO REPRESENTATIVO DO ELEITORADO DO ESTADO DO RIO DE JANEIRO - MÉTODO PPT (Probabilidade Proporcional ao Tamanho) - PLANO AMOSTRAL E PONDERAÇÃO QUANTO A SEXO, IDADE, GRAU DE INSTRUÇÃO E NÍVEL ECONÔMICO DO ENTREVISTADO; INTERVALO DE CONFIANÇA E MARGEM DE ERRO: Representativo do eleitorado da área em estudo, elaborada, em vários estágios, da seguinte forma: - 1. Divisão da UF em estratos proporcionais de municípios. 2. Ordenação dos municípios de cada estrato segundo o porte. 3. Sorteio dos municípios de cada estrato. 4. Os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: GÊNERO / FAIXA ETÁRIA - FEMININO E MASCULINO 16 A 34 ANOS 14,6% E 13,6%, 35 A 54 ANOS 19,2% E 16,8%, 55 ANOS OU MAIS 20,3% E 15,5%. GRAU DE INSTRUÇÃO ¿ FEMININO E MASCULINO Sem instrução até Ensino Médio completo 53,5%, Ensino superior incompleto e completo 46,5% NÍVEL ECONÔMICO - FEMININO população não economicamente ativa 46,5% população economicamente ativa 53,5% MASCULINO população não economicamente ativa 27,2% população economicamente ativa 72,8%. RENDA FAMILIAR DO DOMICÍLIO renda familiar de até 2 salários-mínimos 30,7%; de 2 a 5 salários-mínimos 44,2%, acima de 5 salários-mínimos 25,1%. Está prevista eventual ponderação para correção das variáveis, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a margem de erro da pesquisa previsto entre a amostra e a coleta de dados realizada. O fator previsto para ponderação é 1 (resultados obtidos na coleta de dados). O intervalo de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de aproximadamente 2,5 pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: IBGE/Censo 2022 para fins de densidade demográfica, setores censitários e alocação da amostra. IBGE/PNAD/PNADC/MEC/INEP para fins de Nível Econômico e Escolaridade. TSE FEVEREIRO/2026 para fins de Sexo, Faixa Etária e eleitorado por município ou regiões previamente definidas (importante ressaltar para o público leigo que os dados do TSE são os únicos corretos para gênero, idade dos eleitores e quantitativo de eleitores por municípios já que a base de dados se atualiza automaticamente, PORÉM, dados de escolaridade e nível econômico NÃO são corretos e confiáveis devido a desatualização que ocorre naturalmente com o passar dos anos). Definição de margem de erro e intervalo de confiança: Margem de erro e intervalo de confiança não são grandezas diretamente proporcionais. A SOMA NÃO TEM QUE RESULTAR 100%. ";"Após os trabalhos de coleta de dados, os questionários são submetidos a uma fiscalização, conferência e checagem de cerca de 20% (vinte por cento) dos questionários aplicados.";"A relação dos municípios sorteados ou selecionados para esta pesquisa será apresentada em arquivo anexo até 1 (um) dia após a divulgação desta pesquisa conforme §7º. do art. 2º. da Resolução-TSE nº. 23.600/2019. A área de abrangência desta pesquisa é o Estado DO RIO DE JANEIRO"
"01/09/2026";"05:46:44";2026;81;"Eleições Gerais 2026";"RJ";"RJ";"RIO DE JANEIRO";"RJ089772026";"2026-05-03 21:12:05";"S";"00654576000172";"INSTITUTO VERITA LTDA";"VERITA";"Governador, Senador";"2026-05-04 00:00:00";"2026-05-08 00:00:00";"2026-05-09 00:00:00";2030;"10699";"GUILHERME ALVARENGA LAIA";"156310,00";"Pesquisa quantitativa, que consiste na realização de entrevistas, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado desta Unidade da Federação.";"ESTUDO REPRESENTATIVO DO ELEITORADO DO ESTADO DO RIO DE JANEIRO - MÉTODO PPT (Probabilidade Proporcional ao Tamanho) - PLANO AMOSTRAL E PONDERAÇÃO QUANTO A SEXO, IDADE, GRAU DE INSTRUÇÃO E NÍVEL ECONÔMICO DO ENTREVISTADO; INTERVALO DE CONFIANÇA E MARGEM DE ERRO: Representativo do eleitorado da área em estudo, elaborada, em vários estágios, da seguinte forma: - 1. Divisão da UF em estratos proporcionais de municípios. 2. Ordenação dos municípios de cada estrato segundo o porte. 3. Sorteio dos municípios de cada estrato. 4. Os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: GÊNERO / FAIXA ETÁRIA - FEMININO E MASCULINO 16 A 34 ANOS 14,6% E 13,6%, 35 A 54 ANOS 19,2% E 16,8%, 55 ANOS OU MAIS 20,3% E 15,5%. GRAU DE INSTRUÇÃO ¿ FEMININO E MASCULINO Sem instrução até Ensino Médio completo 53,5%, Ensino superior incompleto e completo 46,5% NÍVEL ECONÔMICO - FEMININO população não economicamente ativa 46,5% população economicamente ativa 53,5% MASCULINO população não economicamente ativa 27,2% população economicamente ativa 72,8%. RENDA FAMILIAR DO DOMICÍLIO renda familiar de até 2 salários-mínimos 30,7%; de 2 a 5 salários-mínimos 44,2%, acima de 5 salários-mínimos 25,1%. Está prevista eventual ponderação para correção das variáveis, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a margem de erro da pesquisa previsto entre a amostra e a coleta de dados realizada. O fator previsto para ponderação é 1 (resultados obtidos na coleta de dados). O intervalo de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de aproximadamente 2,5 pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: IBGE/Censo 2022 para fins de densidade demográfica, setores censitários e alocação da amostra. IBGE/PNAD/PNADC/MEC/INEP para fins de Nível Econômico e Escolaridade. TSE FEVEREIRO/2026 para fins de Sexo, Faixa Etária e eleitorado por município ou regiões previamente definidas (importante ressaltar para o público leigo que os dados do TSE são os únicos corretos para gênero, idade dos eleitores e quantitativo de eleitores por municípios já que a base de dados se atualiza automaticamente, PORÉM, dados de escolaridade e nível econômico NÃO são corretos e confiáveis devido a desatualização que ocorre naturalmente com o passar dos anos). Definição de margem de erro e intervalo de confiança: Margem de erro e intervalo de confiança não são grandezas diretamente proporcionais. A SOMA NÃO TEM QUE RESULTAR 100%. ";"Após os trabalhos de coleta de dados, os questionários são submetidos a uma fiscalização, conferência e checagem de cerca de 20% (vinte por cento) dos questionários aplicados.";"A relação dos municípios sorteados ou selecionados para esta pesquisa será apresentada em arquivo anexo até 1 (um) dia após a divulgação desta pesquisa conforme §7º. do art. 2º. da Resolução-TSE nº. 23.600/2019. A área de abrangência desta pesquisa é o Estado DO RIO DE JANEIRO"
"01/09/2026";"05:46:44";2026;81;"Eleições Gerais 2026";"RJ";"RJ";"RIO DE JANEIRO";"RJ020022026";"2026-06-02 17:49:39";"S";"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA";"#NULO#";"Governador, Senador, Deputado Federal, Deputado Estadual";"2026-09-25 00:00:00";"2026-09-28 00:00:00";"2026-06-08 00:00:00";14000;"11413";"Luciano Moura Silva";"140000,00";"Pesquisa quantitativa com aplicação de questionário estruturado, por meio de entrevistas telefônicas automatizadas via URA, junto a eleitores residentes no Estado do Rio de Janeiro. A pesquisa tem abrangência estadual e contempla intenção de voto e avaliação para os cargos de Deputado Federal, Deputado Estadual, Governador e Senador. A coleta será realizada em todos os municípios do estado, observados os critérios técnicos definidos no plano amostral e os procedimentos padronizados de captação, processamento, consistência e validação das respostas.";"Plano amostral de abrangência estadual, com 14.000 entrevistas telefônicas automatizadas, por meio de URA, junto a eleitores residentes no Estado do Rio de Janeiro. A amostra será distribuída territorialmente de modo a contemplar os municípios do estado e será posteriormente ponderada por gênero, faixa etária, grau de instrução e nível econômico da pessoa entrevistada, com base em fontes públicas oficiais, especialmente dados do TSE e do IBGE. Considera-se nível de confiança de 95% e margem de erro máxima estimada em aproximadamente 0,8 ponto percentual para o total da amostra estadual.";"Será adotado sistema interno de controle e verificação em todas as etapas da coleta, com auditoria dos arquivos de disparo e retorno da URA, verificação de duplicidades, checagem de consistência das respostas, controle de integridade dos registros eletrônicos e validação automática das entrevistas concluídas. Haverá monitoramento técnico do funcionamento da plataforma, conferência da base utilizada, rastreabilidade dos contatos realizados, exclusão de registros inválidos, incompletos ou inconsistentes, bem como fiscalização dos procedimentos de processamento, tabulação e consolidação dos dados, assegurando a possibilidade de auditoria do material coletado.";"Pesquisa de abrangência estadual, contemplando eleitores residentes nos municípios do Estado do Rio de Janeiro. Em razão da metodologia de entrevistas telefônicas automatizadas por URA, não há delimitação prévia de bairros no plano de coleta, sendo considerada a área física correspondente ao conjunto dos municípios do estado, com distribuição territorial das entrevistas conforme os critérios definidos no plano amostral."
"01/09/2026";"05:46:44";2026;81;"Eleições Gerais 2026";"RJ";"RJ";"RIO DE JANEIRO";"RJ004372026";"2026-02-11 17:25:51";"N";"39293002000151";"PREFAB FUTURE PUBLICIDADE E PESQUISAS LTDA";"PREFAB FUTURE";"Governador";"2026-02-09 00:00:00";"2026-02-13 00:00:00";"2026-02-17 00:00:00";2000;"6942 Serie a 2";"Sergio Ribeiro dos Santos";"25000,00";"Pesquisa Quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado (16 e +) e votante no Município de ESTADO DO RJ.
";"A amostra é representativa do eleitorado da área em estudo e foi elaborada em dois estágios. No primeiro estágio, realiza-se um sorteio probabilístico dos setores censitários onde serão conduzidas as entrevistas, utilizando-se o método de Probabilidade Proporcional ao Tamanho (PPT), tendo como base a população residente de 16 anos ou mais em cada setor. No segundo e último estágio, dentro dos setores sorteados, os respondentes são selecionados por meio de cotas amostrais proporcionais, definidas a partir de variáveis consideradas estatisticamente significativas, a saber:
SEXO: Masculino (45,9%), Feminino (54,1%), IDADE: 16-24 (9,98%); 25-34 (18,27%); 35-44 (18,45%); 45-59 (25,35%); 60 E+ (27,95%); INSTRUÇÃO:ATÉ FUNDAMENTAL INCOMPLETO/COMPLETO (17,3%);MÉDIO INCOMPLETO/COMPLETO (38,82%);SUPERIOR INCOMPLETO/COMPLETO (43,88%); 
RENDA DOMICILIAR:ATÉ 3 SM  (58,08%);ACIMA DE 3 ATE 5 SM (14,14%);ACIMA DE 5 SM (27,78%). Está prevista eventual ponderação 
para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 2,19 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). 
O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 2,19 pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: IBGE(Censo 2022 e PNADC 2025-3 trimestre) , TSE 2025(Dezembro)
";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pela Empresa . devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores. para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.
";"A área de abrangência da coleta é (ESTADO DO RJ). A relação das localidades selecionadas para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.600/2019 do TSE.
"
"01/09/2026";"05:46:44";2026;81;"Eleições Gerais 2026";"RJ";"RJ";"RIO DE JANEIRO";"RJ064002026";"2026-06-02 16:44:11";"S";"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA";"#NULO#";"Governador, Senador, Deputado Federal, Deputado Estadual";"2026-08-22 00:00:00";"2026-08-25 00:00:00";"2026-06-08 00:00:00";14000;"11413";"Luciano Moura Silva";"140000,00";"Pesquisa quantitativa com aplicação de questionário estruturado, por meio de entrevistas telefônicas automatizadas via URA, junto a eleitores residentes no Estado do Rio de Janeiro. A pesquisa tem abrangência estadual e contempla intenção de voto e avaliação para os cargos de Deputado Federal, Deputado Estadual, Governador e Senador. A coleta será realizada em todos os municípios do estado, observados os critérios técnicos definidos no plano amostral e os procedimentos padronizados de captação, processamento, consistência e validação das respostas.";"Plano amostral de abrangência estadual, com 14.000 entrevistas telefônicas automatizadas, por meio de URA, junto a eleitores residentes no Estado do Rio de Janeiro. A amostra será distribuída territorialmente de modo a contemplar os municípios do estado e será posteriormente ponderada por gênero, faixa etária, grau de instrução e nível econômico da pessoa entrevistada, com base em fontes públicas oficiais, especialmente dados do TSE e do IBGE. Considera-se nível de confiança de 95% e margem de erro máxima estimada em aproximadamente 0,8 ponto percentual para o total da amostra estadual.";"Será adotado sistema interno de controle e verificação em todas as etapas da coleta, com auditoria dos arquivos de disparo e retorno da URA, verificação de duplicidades, checagem de consistência das respostas, controle de integridade dos registros eletrônicos e validação automática das entrevistas concluídas. Haverá monitoramento técnico do funcionamento da plataforma, conferência da base utilizada, rastreabilidade dos contatos realizados, exclusão de registros inválidos, incompletos ou inconsistentes, bem como fiscalização dos procedimentos de processamento, tabulação e consolidação dos dados, assegurando a possibilidade de auditoria do material coletado.";"Pesquisa de abrangência estadual, contemplando eleitores residentes nos municípios do Estado do Rio de Janeiro. Em razão da metodologia de entrevistas telefônicas automatizadas por URA, não há delimitação prévia de bairros no plano de coleta, sendo considerada a área física correspondente ao conjunto dos municípios do estado, com distribuição territorial das entrevistas conforme os critérios definidos no plano amostral."
"01/09/2026";"05:46:44";2026;81;"Eleições Gerais 2026";"RJ";"RJ";"RIO DE JANEIRO";"RJ099752026";"2026-06-02 17:08:06";"S";"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA";"#NULO#";"Governador, Senador, Deputado Federal, Deputado Estadual";"2026-09-05 00:00:00";"2026-09-08 00:00:00";"2026-06-08 00:00:00";14000;"11413";"Luciano Moura Silva";"140000,00";"Pesquisa quantitativa com aplicação de questionário estruturado, por meio de entrevistas telefônicas automatizadas via URA, junto a eleitores residentes no Estado do Rio de Janeiro. A pesquisa tem abrangência estadual e contempla intenção de voto e avaliação para os cargos de Deputado Federal, Deputado Estadual, Governador e Senador. A coleta será realizada em todos os municípios do estado, observados os critérios técnicos definidos no plano amostral e os procedimentos padronizados de captação, processamento, consistência e validação das respostas.";"Plano amostral de abrangência estadual, com 14.000 entrevistas telefônicas automatizadas, por meio de URA, junto a eleitores residentes no Estado do Rio de Janeiro. A amostra será distribuída territorialmente de modo a contemplar os municípios do estado e será posteriormente ponderada por gênero, faixa etária, grau de instrução e nível econômico da pessoa entrevistada, com base em fontes públicas oficiais, especialmente dados do TSE e do IBGE. Considera-se nível de confiança de 95% e margem de erro máxima estimada em aproximadamente 0,8 ponto percentual para o total da amostra estadual.";"Será adotado sistema interno de controle e verificação em todas as etapas da coleta, com auditoria dos arquivos de disparo e retorno da URA, verificação de duplicidades, checagem de consistência das respostas, controle de integridade dos registros eletrônicos e validação automática das entrevistas concluídas. Haverá monitoramento técnico do funcionamento da plataforma, conferência da base utilizada, rastreabilidade dos contatos realizados, exclusão de registros inválidos, incompletos ou inconsistentes, bem como fiscalização dos procedimentos de processamento, tabulação e consolidação dos dados, assegurando a possibilidade de auditoria do material coletado.";"Pesquisa de abrangência estadual, contemplando eleitores residentes nos municípios do Estado do Rio de Janeiro. Em razão da metodologia de entrevistas telefônicas automatizadas por URA, não há delimitação prévia de bairros no plano de coleta, sendo considerada a área física correspondente ao conjunto dos municípios do estado, com distribuição territorial das entrevistas conforme os critérios definidos no plano amostral."
